365183.874128, 4385032.9983749995
365024.061628, 4385173.4983749995
365114.061628, 4385010.4983749995
365032.655378, 4385262.9983749995 
364945.686628, 4385303.9983749995 
365120.592878, 4385190.9983749995
365012.405378, 4385168.9983749995 
365113.499128, 4385224.4983749995 
365324.249128, 4385085.9983749995 
365433.717878, 4385148.9983749995
365080.092878, 4384999.4983749995
365009.061628, 4384976.4983749995 
365243.35743499995, 4385053.430597 
365058.374128, 4385184.9983749995
364967.530378, 4385309.4983749995
364961.936628, 4385150.4983749995
